"","block.address","Vacant_Pr","Occupied_Pr","NumofBuilding","SURA","Units","YearBuilt","AssessedVa","Aggravated.assault","Arson","Burglary","Larceny","Murder","Robbery","Vehicle.theft","Total"
"100 block congress av","100 block congress av",0,1,2,2,1,1925,25500,0,0,0,0,0,0,0,0
"100 block conifer dr","100 block conifer dr",0,1,12,0,1,1958.16666666667,79966.6666666667,12,0,0,0,0,0,0,12
"100 block conklin av","100 block conklin av",0,1,6,0,1,1937.5,54483.3333333333,0,0,0,0,0,0,0,0
"100 block cook av","100 block cook av",0,1,28,0,1.46428571428571,1917.32142857143,71421.4285714286,0,0,0,28,0,0,0,28
"100 block coolidge av","100 block coolidge av",0.05,0.95,20,20,1.3,1945.25,41620,40,0,40,20,0,0,0,100
"100 block coral av","100 block coral av",0.125,0.875,8,7,1.125,1923.25,48100,0,0,0,0,0,0,0,0
"100 block cordova st","100 block cordova st",0.0526315789473684,0.947368421052632,19,19,1,1928.78947368421,49389.4736842105,0,0,19,0,0,0,0,19
"100 block cornell av","100 block cornell av",0.0714285714285714,0.928571428571429,14,13,1,1958.64285714286,61450,0,0,0,0,0,0,0,0
"100 block corning av e","100 block corning av e",0,1,3,3,1.33333333333333,1912,33400,3,0,0,0,0,0,0,3
"100 block corning av w","100 block corning av w",0.173913043478261,0.826086956521739,23,23,1.26086956521739,1931.39130434783,39891.3043478261,0,0,0,23,0,23,0,46
"100 block cortland pl","100 block cortland pl",0.0588235294117647,0.941176470588235,17,8,1.11764705882353,1919.70588235294,49688.2352941177,17,0,0,0,0,0,0,17
"100 block court st","100 block court st",0.111111111111111,0.888888888888889,9,9,1.33333333333333,1885.77777777778,36911.1111111111,0,0,0,0,0,0,0,0
"100 block court terr","100 block court terr",0,1,10,10,1.1,1925,60970,0,0,0,0,0,0,0,0
"100 block coykendall av","100 block coykendall av",0.0909090909090909,0.909090909090909,11,11,1.54545454545455,1909.22727272727,51340.9090909091,0,0,0,0,0,0,0,0
"100 block coyne cir","100 block coyne cir",0,1,4,4,1,1993,60000,0,0,0,0,0,0,0,0
